mc_number,outcome,load_id,agreed_rate,sentiment,date
44100,successful,1,2850.0,positive,Feb 5 9:05a.m.
98001,unsuccessful,5,0.0,negative,Feb 4 4:05p.m.
54002,successful,3,3200.0,positive,Feb 3 11:31a.m.
11223,successful,30,2000.0,neutral,Feb 5 6:54p.m.
67890,successful,23,1950.0,positive,Feb 1 9:15a.m.
99001,successful,43,950.0,positive,Feb 5 12:38p.m.
67890,successful,18,750.0,positive,Feb 4 1:44a.m.
12345,successful,11,1400.0,positive,Feb 6 4:36a.m.
54002,successful,5,2250.0,neutral,Feb 2 3:28p.m.
54002,successful,7,1350.0,neutral,Feb 3 9:22a.m.
12345,successful,14,2850.0,positive,Feb 9 12:21p.m.
99001,successful,31,950.0,neutral,Feb 9 6:16a.m.
44556,unsuccessful,24,0.0,neutral,Feb 9 1:42p.m.
44556,successful,34,1250.0,positive,Feb 9 8:44p.m.
12345,successful,41,1300.0,neutral,Feb 4 5:27a.m.
67890,successful,33,1250.0,neutral,Feb 4 2:26a.m.
99001,successful,19,850.0,positive,Feb 5 5:44a.m.
98001,successful,21,1450.0,positive,Feb 10 5:01p.m.
44100,successful,42,1150.0,neutral,Feb 4 12:07a.m.
77889,successful,12,1150.0,positive,Feb 1 12:55a.m.
44100,successful,39,1350.0,positive,Feb 1 5:35a.m.
12345,unsuccessful,44,0.0,neutral,Feb 1 1:21a.m.
44556,unsuccessful,14,0.0,neutral,Feb 9 12:42a.m.
44100,successful,24,1300.0,positive,Feb 4 11:37a.m.
44556,unsuccessful,1,0.0,negative,Feb 4 8:20p.m.
44556,successful,26,1400.0,positive,Feb 7 5:13a.m.
11223,successful,38,1350.0,positive,Feb 4 9:10a.m.
67890,unsuccessful,41,0.0,neutral,Feb 3 12:16a.m.
77889,unsuccessful,21,0.0,neutral,Feb 4 8:51p.m.
67890,unsuccessful,5,0.0,neutral,Feb 10 10:24a.m.
11223,successful,15,1600.0,positive,Feb 8 1:11a.m.
44556,unsuccessful,18,0.0,negative,Feb 9 2:59p.m.
12345,unsuccessful,21,0.0,negative,Feb 10 12:16p.m.
44100,successful,27,850.0,positive,Feb 1 7:27p.m.
44100,unsuccessful,20,0.0,neutral,Feb 4 8:28a.m.
44100,unsuccessful,22,0.0,negative,Feb 8 2:53p.m.
77889,unsuccessful,11,0.0,neutral,Feb 7 12:38p.m.
44556,unsuccessful,33,0.0,negative,Feb 10 2:40a.m.
98001,successful,13,1550.0,neutral,Feb 3 9:38a.m.
77889,unsuccessful,8,0.0,negative,Feb 6 11:39p.m.
77889,unsuccessful,29,0.0,neutral,Feb 10 3:10a.m.
44100,unsuccessful,10,0.0,negative,Feb 4 12:55p.m.
98001,unsuccessful,26,0.0,neutral,Feb 2 10:36p.m.
77889,successful,8,2700.0,positive,Feb 6 4:07a.m.
