origin,destination,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,notes,weight,commodity_type,num_of_pieces,miles,dimensions
"Laredo, TX","Chicago, IL","2026-02-10 08:00","2026-02-12 14:00","Dry Van 53'","2850.00","Carga delicada, requiere mantas",42000,"Auto Parts",24,1380,"Standard Pallets"
"Savannah, GA","Atlanta, GA","2026-02-11 09:30","2026-02-11 16:00","Reefer","3100.00","Mantener a -18°C",38000,"Frozen Poultry",20,250,"40x48x60"
"Houston, TX","Phoenix, AZ","2026-02-12 07:00","2026-02-14 10:00","Flatbed","3200.00","Carga sobredimensionada",45000,"Steel Pipes",12,1170,"40ft length"
"Miami, FL","Charlotte, NC","2026-02-13 10:00","2026-02-14 12:00","Dry Van 53'","1800.00","Solo carga trasera",15000,"Furniture",50,710,"Mixed boxes"
"Los Angeles, CA","Seattle, WA","2026-02-15 06:00","2026-02-17 08:00","Reefer","2100.00","Fruta fresca, alta prioridad",35000,"Produce",22,1135,"Standard Pallets"
"Dallas, TX","Denver, CO","2026-02-16 08:00","2026-02-17 15:00","Dry Van 53'","2400.00","Llegada antes del cierre",32000,"Electronics",18,795,"Standard Pallets"
"Nashville, TN","Columbus, OH","2026-02-16 10:00","2026-02-17 07:00","Dry Van 53'","1150.00","Carga ligera",12000,"Paper Products",26,380,"Standard Pallets"
"Portland, OR","Salt Lake City, UT","2026-02-17 06:30","2026-02-18 12:00","Reefer","2650.00","Mantener a 2°C",40000,"Dairy Products",22,765,"Standard Pallets"
"Memphis, TN","St. Louis, MO","2026-02-17 09:00","2026-02-17 17:00","Dry Van 53'","950.00","Carga urgente",25000,"Consumer Goods",20,285,"Standard Pallets"
"Philadelphia, PA","Boston, MA","2026-02-18 07:00","2026-02-18 16:00","Dry Van 53'","1400.00","Evitar hora pico",18000,"Textiles",15,310,"48x40x72"
"Cleveland, OH","Indianapolis, IN","2026-02-18 11:00","2026-02-18 18:00","Flatbed","1250.00","Lonas requeridas",44000,"Steel Coils",4,315,"Multiple sizes"
"San Diego, CA","Las Vegas, NV","2026-02-19 08:30","2026-02-19 16:00","Dry Van 53'","1050.00","Carga de exhibición",10000,"Event Gear",12,330,"Crates"
"El Paso, TX","San Antonio, TX","2026-02-19 13:00","2026-02-20 08:00","Dry Van 53'","1350.00","Drop and hook",41000,"Auto Parts",24,550,"Standard Pallets"
"Detroit, MI","Kansas City, MO","2026-02-20 07:00","2026-02-21 10:00","Flatbed","2800.00","Carga ancha",38000,"Machinery",1,800,"10x10x8"
